id,doc_name,chapter_num,chapter_name,link
85,Приложение к Национальному плану,13,Финансовые рынки,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap13
86,Национальный план,4.ж,правовое регулирование системы внутреннего обеспечения,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4j
87,Национальный план,4.з,определение основ государственного регулирования,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4z
88,Национальный план,4.и,закрепление единого порядка досудебного рассмотрения,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4i
89,Приложение к Национальному плану,1,Здравоохранение,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap1
90,Приложение к Национальному плану,2,Рынок социальных услуг,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap2
91,Приложение к Национальному плану,3,Агропромышленный комплекс,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap3
92,Приложение к Национальному плану,4,Дорожное строительство,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap4
93,Приложение к Национальному плану,5,Телекоммуникации,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap5
94,Приложение к Национальному плану,6,Информационные технологии,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap6
95,Приложение к Национальному плану,7,Жилищно-коммунальное хозяйство,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap7
96,Приложение к Национальному плану,8,Газоснабжение,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap8
97,Приложение к Национальному плану,9,Нефть и нефтепродукты,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap9
98,Приложение к Национальному плану,10,Сфера естественных монополий,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap10
99,Приложение к Национальному плану,11,Транспортные услуги,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap11
100,Приложение к Национальному плану,12,Промышленность,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap12
101,Приложение к Национальному плану,13,Финансовые рынки,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap13
